instance,subgroup,algorithm_id,med_n_f1_layers,std_n_f1_layers,med_n_pareto,std_n_pareto
r206_21,R2,moead_ws,4.0,0.9,100.5,5.29
r207_21,R2,nsga2,3.0,0.67,105.0,9.89
r207_21,R2,smsemoa,2.5,0.67,105.0,9.27
r207_21,R2,moead_ws,3.0,0.81,96.5,6.03
r208_21,R2,nsga2,2.0,0.68,56.5,29.25
r208_21,R2,smsemoa,2.0,0.55,68.0,26.28
r208_21,R2,moead_ws,3.0,0.66,91.5,8.11
r209_21,R2,nsga2,3.0,0.74,105.0,0.0
r209_21,R2,smsemoa,3.0,0.75,105.0,0.43
r209_21,R2,moead_ws,3.0,0.88,99.0,4.58
r210_21,R2,nsga2,3.0,0.84,105.0,0.72
r210_21,R2,smsemoa,3.0,0.79,105.0,1.75
r210_21,R2,moead_ws,4.0,0.75,99.0,4.71
r211_21,R2,nsga2,2.0,0.56,105.0,6.49
r211_21,R2,smsemoa,2.0,0.5,105.0,3.62
r211_21,R2,moead_ws,3.0,0.6,95.0,5.76
rc102_21,RC1,nsga2,12.0,1.68,105.0,0.0
rc102_21,RC1,smsemoa,12.0,1.86,105.0,0.18
rc102_21,RC1,moead_ws,13.0,1.82,100.0,3.84
rc103_21,RC1,nsga2,9.0,1.38,105.0,0.0
rc103_21,RC1,smsemoa,9.0,1.36,105.0,0.0
rc103_21,RC1,moead_ws,10.0,1.71,99.0,3.69
rc104_21,RC1,nsga2,6.0,1.02,105.0,5.41
rc104_21,RC1,smsemoa,5.0,0.89,105.0,10.46
rc104_21,RC1,moead_ws,6.0,1.35,97.0,5.54
rc105_21,RC1,nsga2,10.0,1.33,105.0,0.0
rc105_21,RC1,smsemoa,11.0,1.12,105.0,0.18
rc105_21,RC1,moead_ws,12.0,1.98,100.0,3.64
rc106_21,RC1,nsga2,9.0,1.19,105.0,0.0
rc106_21,RC1,smsemoa,10.0,1.33,105.0,0.54
rc106_21,RC1,moead_ws,10.5,1.52,100.0,4.2
rc107_21,RC1,nsga2,7.0,0.89,105.0,0.0
rc107_21,RC1,smsemoa,6.0,1.28,105.0,4.2
rc107_21,RC1,moead_ws,8.0,1.48,97.0,4.95
rc108_21,RC1,nsga2,5.0,1.06,105.0,4.68
rc108_21,RC1,smsemoa,6.0,0.91,105.0,2.33
rc108_21,RC1,moead_ws,6.0,1.14,96.5,4.67
rc202_21,RC2,nsga2,4.0,1.06,105.0,0.0
rc202_21,RC2,smsemoa,4.0,1.08,105.0,0.0
rc202_21,RC2,moead_ws,5.0,1.26,98.5,4.7
rc203_21,RC2,nsga2,4.0,0.82,105.0,0.0
rc203_21,RC2,smsemoa,4.0,0.85,105.0,0.0
rc203_21,RC2,moead_ws,4.0,0.93,98.0,4.92
rc204_21,RC2,nsga2,3.0,0.78,105.0,5.8
rc204_21,RC2,smsemoa,3.0,0.73,105.0,14.49
rc204_21,RC2,moead_ws,3.0,0.77,92.0,6.69
rc205_21,RC2,nsga2,4.0,0.87,105.0,0.0
rc205_21,RC2,smsemoa,5.0,0.99,105.0,0.0
rc205_21,RC2,moead_ws,5.0,1.18,100.0,4.24
rc206_21,RC2,nsga2,4.0,0.86,105.0,0.0
rc206_21,RC2,smsemoa,4.0,1.02,105.0,0.0
rc206_21,RC2,moead_ws,4.0,1.09,101.0,4.59
rc207_21,RC2,nsga2,3.0,0.74,105.0,0.86
rc207_21,RC2,smsemoa,3.0,0.53,105.0,0.18
rc207_21,RC2,moead_ws,4.0,0.99,99.5,4.33
rc208_21,RC2,nsga2,3.0,0.71,105.0,12.39
rc208_21,RC2,smsemoa,3.0,0.54,105.0,5.37
rc208_21,RC2,moead_ws,3.0,0.89,101.0,6.34
