task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
526,smsemoa,70,r101_21,2226998984,0.7054,0.4186,,,,,,600000,105,105,25123629.04,24.00,2008.92,72.38,451.9,ok,fronts/smsemoa__r101_21__cfg070.pkl
517,nsga2,12,c101_21,1025151560,0.7552,0.9141,,,,,,600000,105,105,87348820.19,15.00,1766.02,1914.07,489.2,ok,fronts/nsga2__c101_21__cfg012.pkl
522,nsga2,93,c101_21,1041571536,0.5411,0.9376,,,,,,600000,105,105,122847324.89,15.00,1869.75,2358.02,507.3,ok,fronts/nsga2__c101_21__cfg093.pkl
519,nsga2,70,c101_21,2845362274,0.6529,0.74,,,,,,600000,105,105,143740681.2,16.00,1837.97,1521.48,509.0,ok,fronts/nsga2__c101_21__cfg070.pkl
527,nsga2,66,rc201_21,1956040173,0.6662,0.964,,,,,,600000,105,105,455631637.72,7.00,1400.35,91.05,646.8,ok,fronts/nsga2__rc201_21__cfg066.pkl
524,nsga2,50,rc201_21,3844659647,0.4875,0.6393,,,,,,600000,105,105,451958765.43,6.00,1238.56,64.58,665.5,ok,fronts/nsga2__rc201_21__cfg050.pkl
523,nsga2,95,rc201_21,1956133967,0.8079,0.6903,,,,,,600000,105,105,102622883.89,6.00,1394.56,19.91,690.2,ok,fronts/nsga2__rc201_21__cfg095.pkl
520,nsga2,9,rc201_21,486202317,0.7611,0.8763,,,,,,600000,105,105,157672220.67,6.00,1329.44,0.00,690.2,ok,fronts/nsga2__rc201_21__cfg009.pkl
528,moead_ws,61,c101_21,3283660924,0.5812,0.4208,15,0.227,pbi,energy,4.289,600000,105,94,2995297.62,28.00,3223.64,10829.49,710.8,ok,fronts/moead_ws__c101_21__cfg061.pkl
525,moead_ws,62,c101_21,3658992059,0.7421,0.6802,12,0.8746,pbi,energy,3.0,600000,105,60,1846457.57,30.00,3701.56,4909.51,724.3,ok,fronts/moead_ws__c101_21__cfg062.pkl
529,nsga2,71,rc101_21,3690720843,0.499,0.7497,,,,,,600000,105,105,47745580.48,20.00,2265.01,47.64,470.4,ok,fronts/nsga2__rc101_21__cfg071.pkl
530,smsemoa,31,r101_21,4144374687,0.2601,0.5591,,,,,,600000,105,105,17925044.76,22.00,1908.43,69.84,479.1,ok,fronts/smsemoa__r101_21__cfg031.pkl
531,smsemoa,55,c101_21,1812666794,0.7886,0.3347,,,,,,600000,105,105,101895224.76,16.00,1819.15,2241.91,498.7,ok,fronts/smsemoa__c101_21__cfg055.pkl
518,moead_ws,71,c201_21,3317397682,0.4861,0.795,19,0.6269,weighted-sum,energy,,600000,105,104,321032615.95,6.00,1215.00,13523.66,1022.9,ok,fronts/moead_ws__c201_21__cfg071.pkl
521,moead_ws,29,c201_21,2253271277,0.7126,0.6517,10,0.7757,tchebycheff,energy,,600000,105,103,212211280.82,6.00,1156.11,13580.74,1035.3,ok,fronts/moead_ws__c201_21__cfg029.pkl
534,nsga2,70,rc101_21,1382740554,0.6529,0.74,,,,,,600000,105,105,35111105.22,20.00,2371.43,56.83,462.7,ok,fronts/nsga2__rc101_21__cfg070.pkl
537,nsga2,80,rc101_21,1540015603,0.8262,0.2426,,,,,,600000,105,105,33788240.36,20.00,2234.12,16.44,462.1,ok,fronts/nsga2__rc101_21__cfg080.pkl
533,smsemoa,22,rc201_21,1327553245,0.4809,0.7973,,,,,,600000,105,105,112370598.19,6.00,1339.24,81.03,670.2,ok,fronts/smsemoa__rc201_21__cfg022.pkl
535,nsga2,10,rc201_21,583508597,0.5131,0.6193,,,,,,600000,105,105,322555902.41,7.00,1381.89,143.56,653.2,ok,fronts/nsga2__rc201_21__cfg010.pkl
532,smsemoa,36,c201_21,376417398,0.7835,0.3276,,,,,,600000,105,105,157569319.63,5.00,1154.28,1605.00,835.6,ok,fronts/smsemoa__c201_21__cfg036.pkl
540,smsemoa,30,rc101_21,981298532,0.5467,0.4901,,,,,,600000,105,105,43539686.46,19.00,2028.24,1.92,465.7,ok,fronts/smsemoa__rc101_21__cfg030.pkl
538,smsemoa,28,r201_21,3102983630,0.6799,0.8297,,,,,,600000,105,105,74430913.43,6.00,1230.99,217.71,734.3,ok,fronts/smsemoa__r201_21__cfg028.pkl
