task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
35,smsemoa,10,c101_21,3310839314,0.4321,0.0358,,,,,,400000,105,105,128557481.04,17.00,2308.03,3539.38,358.0,ok,fronts/smsemoa__c101_21__cfg10.pkl
39,moead_ws,49,r101_21,2968395187,0.801,0.19873,5,0.6981,pbi,energy,1.361,400000,105,105,43482.1,39.00,3049.37,365.62,359.0,ok,fronts/moead_ws__r101_21__cfg49.pkl
11,smsemoa,1,rc201_21,199792442,0.9086,0.05411,,,,,,400000,105,105,36956924.59,6.00,1561.24,0.08,419.8,ok,fronts/smsemoa__rc201_21__cfg01.pkl
27,smsemoa,26,rc201_21,3467173275,0.8263,0.16592,,,,,,400000,105,105,29967142.74,7.00,1588.74,0.00,502.9,ok,fronts/smsemoa__rc201_21__cfg26.pkl
7,nsga2,33,c201_21,592519898,0.6347,0.02351,,,,,,400000,105,80,247842785.39,4.00,1127.92,54.00,504.9,ok,fronts/nsga2__c201_21__cfg33.pkl
3,nsga2,34,c201_21,1186894579,0.5592,0.00566,,,,,,400000,105,105,172503062.83,5.00,1383.84,2152.37,518.8,ok,fronts/nsga2__c201_21__cfg34.pkl
19,nsga2,5,c201_21,4217308984,0.1281,0.01305,,,,,,400000,105,105,103212704.94,5.00,1131.64,878.39,596.1,ok,fronts/nsga2__c201_21__cfg05.pkl
15,moead_ws,30,r201_21,202535116,0.7257,0.00162,5,0.9359,pbi,das-dennis,9.63,400000,105,105,221534.53,13.00,2982.22,5260.61,598.4,ok,fronts/moead_ws__r201_21__cfg30.pkl
23,nsga2,9,r201_21,1883956683,0.5546,0.00144,,,,,,400000,105,105,30813561.5,6.00,1601.61,247.17,605.0,ok,fronts/nsga2__r201_21__cfg09.pkl
43,nsga2,22,r101_21,1845865975,0.7003,0.00594,,,,,,400000,105,105,34211159.31,23.00,2009.10,72.81,266.6,ok,fronts/nsga2__r101_21__cfg22.pkl
31,nsga2,35,r101_21,3920422231,0.0308,0.01207,,,,,,400000,105,105,11672134.69,20.00,1855.50,37.63,639.9,ok,fronts/nsga2__r101_21__cfg35.pkl
47,nsga2,40,rc101_21,3541611312,0.557,0.08746,,,,,,400000,105,105,39201650.99,21.00,2341.60,59.34,284.6,ok,fronts/nsga2__rc101_21__cfg40.pkl
55,nsga2,44,r101_21,1090745524,0.7224,0.01394,,,,,,400000,105,105,36559409.54,22.00,1986.86,40.52,265.2,ok,fronts/nsga2__r101_21__cfg44.pkl
51,moead_ws,46,rc201_21,4247698454,0.2408,0.00226,3,0.7768,pbi,das-dennis,9.196,400000,105,97,979380.71,17.00,4383.66,4783.48,490.6,ok,fronts/moead_ws__rc201_21__cfg46.pkl
67,moead_ws,26,c101_21,2000714979,0.2969,0.2241,18,0.9163,pbi,das-dennis,3.955,400000,105,101,1019146.26,31.00,3987.71,6864.33,404.2,ok,fronts/moead_ws__c101_21__cfg26.pkl
59,nsga2,23,r201_21,1822040526,0.8323,0.09851,,,,,,400000,105,105,6067723.38,5.00,1287.04,0.53,541.7,ok,fronts/nsga2__r201_21__cfg23.pkl
91,nsga2,24,rc101_21,1406796784,0.3875,0.00518,,,,,,400000,105,105,16811974.08,22.00,2512.27,0.25,283.4,ok,fronts/nsga2__rc101_21__cfg24.pkl
63,smsemoa,24,c201_21,3007814505,0.3316,0.01949,,,,,,400000,105,105,277331058.56,5.00,1084.15,4235.22,550.1,ok,fronts/smsemoa__c201_21__cfg24.pkl
75,nsga2,25,r201_21,877525424,0.6825,0.00222,,,,,,400000,105,105,31244932.97,6.00,1376.42,61.12,491.9,ok,fronts/nsga2__r201_21__cfg25.pkl
83,smsemoa,16,rc201_21,583912689,0.1706,0.19572,,,,,,400000,105,105,120551795.47,6.00,1504.98,6.01,495.8,ok,fronts/smsemoa__rc201_21__cfg16.pkl
79,moead_ws,48,rc201_21,2827715042,0.8015,0.0039,16,0.8494,weighted-sum,das-dennis,,400000,105,92,54879777.61,12.00,3262.14,3380.25,522.9,ok,fronts/moead_ws__rc201_21__cfg48.pkl
87,nsga2,29,c201_21,2871322588,0.4589,0.02564,,,,,,400000,105,105,147195540.77,5.00,1171.50,641.05,519.2,ok,fronts/nsga2__c201_21__cfg29.pkl
95,nsga2,1,r101_21,2363079106,0.774,0.01222,,,,,,400000,105,105,32870698.93,24.00,2118.26,82.09,261.3,ok,fronts/nsga2__r101_21__cfg01.pkl
71,smsemoa,47,rc201_21,4025682536,0.1228,0.11449,,,,,,400000,105,105,27291092.33,6.00,1411.83,319.42,616.4,ok,fronts/smsemoa__rc201_21__cfg47.pkl
99,nsga2,15,r101_21,2413121374,0.1543,0.0492,,,,,,400000,105,105,27289724.29,22.00,1973.44,19.52,354.7,ok,fronts/nsga2__r101_21__cfg15.pkl
107,nsga2,15,rc101_21,2491398781,0.1543,0.0492,,,,,,400000,105,105,55588778.62,22.00,2573.75,50.37,357.6,ok,fronts/nsga2__rc101_21__cfg15.pkl
119,nsga2,39,rc101_21,336313972,0.2936,0.04362,,,,,,400000,105,105,15688318.01,22.00,2406.52,52.61,305.8,ok,fronts/nsga2__rc101_21__cfg39.pkl
115,nsga2,45,rc101_21,396627256,0.1613,0.01742,,,,,,400000,105,105,30378091.31,21.00,2380.02,28.74,354.0,ok,fronts/nsga2__rc101_21__cfg45.pkl
103,smsemoa,11,rc201_21,177826514,0.5841,0.04071,,,,,,400000,105,105,14929367.83,8.00,1982.93,104.14,427.2,ok,fronts/smsemoa__rc201_21__cfg11.pkl
123,nsga2,17,c101_21,1980653107,0.3258,0.00827,,,,,,400000,105,105,186847070.05,14.00,2120.24,2782.27,340.3,ok,fronts/nsga2__c101_21__cfg17.pkl
135,moead_ws,38,c101_21,3933331158,0.9361,0.01215,6,0.3833,weighted-sum,energy,,400000,105,105,210444497.96,20.00,2608.31,11077.57,405.8,ok,fronts/moead_ws__c101_21__cfg38.pkl
131,nsga2,2,r201_21,1373154325,0.8586,0.05339,,,,,,400000,105,105,17079503.27,5.00,1537.35,62.35,499.7,ok,fronts/nsga2__r201_21__cfg02.pkl
139,smsemoa,6,c101_21,1994721712,0.4558,0.00317,,,,,,400000,105,105,122489379.83,15.00,2067.97,1697.03,334.3,ok,fronts/smsemoa__c101_21__cfg06.pkl
111,moead_ws,7,r201_21,2825249957,0.634,0.00183,19,0.4191,weighted-sum,das-dennis,,400000,105,105,9202983.28,10.00,2591.15,5050.51,630.2,ok,fronts/moead_ws__r201_21__cfg07.pkl
147,smsemoa,23,r101_21,3120994110,0.4735,0.00458,,,,,,400000,105,105,27980849.14,22.00,2001.22,106.08,281.4,ok,fronts/smsemoa__r101_21__cfg23.pkl
151,smsemoa,9,rc101_21,2165946854,0.7585,0.06056,,,,,,400000,105,105,21996251.64,22.00,2492.42,97.00,279.0,ok,fronts/smsemoa__rc101_21__cfg09.pkl
143,nsga2,26,rc101_21,1198352939,0.1999,0.00104,,,,,,400000,105,105,22133913.47,23.00,2559.73,131.21,340.0,ok,fronts/nsga2__rc101_21__cfg26.pkl
159,nsga2,40,r101_21,1728822407,0.557,0.08746,,,,,,400000,105,105,27927305.9,23.00,2079.21,36.43,274.2,ok,fronts/nsga2__r101_21__cfg40.pkl
127,nsga2,20,c201_21,4245483655,0.2269,0.04563,,,,,,400000,105,105,52743509.26,6.00,1078.93,23913.15,790.5,ok,fronts/nsga2__c201_21__cfg20.pkl
155,nsga2,30,rc201_21,1943455686,0.1398,0.00192,,,,,,400000,105,105,39322088.95,8.00,2126.61,399.57,520.7,ok,fronts/nsga2__rc201_21__cfg30.pkl
175,moead_ws,19,rc101_21,1381117588,0.5712,0.01074,9,0.3736,weighted-sum,energy,,400000,105,105,7217713.11,41.00,4316.15,1049.68,345.6,ok,fronts/moead_ws__rc101_21__cfg19.pkl
191,moead_ws,47,rc101_21,2731091578,0.6563,0.00123,3,0.0517,weighted-sum,energy,,400000,105,103,8944824.35,36.00,3802.31,662.16,317.7,ok,fronts/moead_ws__rc101_21__cfg47.pkl
179,smsemoa,48,r101_21,285338692,0.1533,0.00278,,,,,,400000,105,105,28764223.2,23.00,2020.42,74.89,378.5,ok,fronts/smsemoa__r101_21__cfg48.pkl
187,smsemoa,7,c101_21,2275485262,0.306,0.02721,,,,,,400000,105,105,92196920.44,15.00,2015.11,2801.04,365.2,ok,fronts/smsemoa__c101_21__cfg07.pkl
167,smsemoa,4,c201_21,145584701,0.4494,0.00472,,,,,,400000,105,105,63913620.61,5.00,1300.23,6585.73,507.0,ok,fronts/smsemoa__c201_21__cfg04.pkl
163,nsga2,41,r201_21,4285970782,0.6643,0.01015,,,,,,400000,105,105,23035482.97,7.00,1510.25,287.53,597.4,ok,fronts/nsga2__r201_21__cfg41.pkl
183,smsemoa,25,c201_21,3565779930,0.4389,0.00113,,,,,,400000,105,105,107075937.53,6.00,1476.49,7301.20,549.5,ok,fronts/smsemoa__c201_21__cfg25.pkl
171,nsga2,8,r201_21,3933031887,0.4434,0.00366,,,,,,400000,105,105,11275529.36,7.00,1790.85,2728.92,705.1,ok,fronts/nsga2__r201_21__cfg08.pkl
207,nsga2,49,c101_21,2831356176,0.3618,0.00165,,,,,,400000,105,105,157442217.05,14.00,1843.00,2059.88,333.5,ok,fronts/nsga2__c101_21__cfg49.pkl
199,nsga2,17,rc201_21,3292855984,0.3258,0.00827,,,,,,400000,105,105,86127334.16,7.00,1929.89,120.40,430.4,ok,fronts/nsga2__rc201_21__cfg17.pkl
203,nsga2,13,rc201_21,331324092,0.7784,0.00303,,,,,,400000,105,105,40738240.25,6.00,1472.48,156.65,426.5,ok,fronts/nsga2__rc201_21__cfg13.pkl
219,moead_ws,41,r101_21,1293213425,0.6371,0.002,13,0.6861,tchebycheff,energy,,400000,105,105,6253613.2,39.00,3104.27,1034.50,336.4,ok,fronts/moead_ws__r101_21__cfg41.pkl
195,moead_ws,50,r201_21,1388962360,0.2018,0.00204,22,0.5045,tchebycheff,energy,,400000,105,93,11843438.48,11.00,2667.56,2409.13,584.3,ok,fronts/moead_ws__r201_21__cfg50.pkl
223,smsemoa,36,rc101_21,471089536,0.2909,0.01887,,,,,,400000,105,105,14845226.82,22.00,2508.33,66.79,323.8,ok,fronts/smsemoa__rc101_21__cfg36.pkl
227,smsemoa,34,c101_21,2707138389,0.8298,0.10049,,,,,,400000,105,105,83280448.52,14.00,2001.36,1979.37,302.6,ok,fronts/smsemoa__c101_21__cfg34.pkl
235,smsemoa,25,rc101_21,107818326,0.4389,0.00113,,,,,,400000,105,105,29570438.38,21.00,2345.91,69.71,279.4,ok,fronts/smsemoa__rc101_21__cfg25.pkl
215,smsemoa,15,r201_21,4098899883,0.1034,0.02855,,,,,,400000,105,105,32600062.64,6.00,1291.55,4.36,689.7,ok,fronts/smsemoa__r201_21__cfg15.pkl
231,moead_ws,22,c101_21,180868070,0.6425,0.08505,21,0.1346,pbi,energy,5.628,400000,105,69,2096936.33,29.00,3756.52,11338.72,413.6,ok,fronts/moead_ws__c101_21__cfg22.pkl
211,moead_ws,3,c201_21,194992387,0.6943,0.02751,12,0.8041,weighted-sum,das-dennis,,400000,105,105,72523327.68,7.00,2995.33,53424.32,755.6,ok,fronts/moead_ws__c201_21__cfg03.pkl
259,smsemoa,19,c101_21,261728379,0.9586,0.01566,,,,,,400000,105,105,96481069.44,16.00,1916.85,3146.35,299.6,ok,fronts/smsemoa__c101_21__cfg19.pkl
247,nsga2,3,c101_21,3977051492,0.0942,0.26106,,,,,,400000,105,105,120448455.4,14.00,1729.99,984.79,375.9,ok,fronts/nsga2__c101_21__cfg03.pkl
239,nsga2,38,c101_21,607368253,0.0583,0.00498,,,,,,400000,105,105,150884177.61,15.00,1868.92,2433.76,524.2,ok,fronts/nsga2__c101_21__cfg38.pkl
255,moead_ws,41,c101_21,2754628365,0.6371,0.002,13,0.6861,tchebycheff,energy,,400000,105,105,97827041.3,22.00,3370.18,17274.63,428.8,ok,fronts/moead_ws__c101_21__cfg41.pkl
243,nsga2,37,r201_21,3836384284,0.8534,0.0038,,,,,,400000,105,105,28495527.92,5.00,1422.51,9.74,525.8,ok,fronts/nsga2__r201_21__cfg37.pkl
