config_id,config_label,instance,run_idx,seed,n_neighbors,prob_neighbor_mating,decomposition,pbi_theta,n_evals,effective_evals,n_feasible,n_total,n_unique_obj,n_unique_feasible,n_f1_layers,best_f1,best_f2,best_f3,hv_raw,elapsed_s,timestamp,error
C2,n_neigh=15,r201_21,1,866757100,15,0.9,tchebycheff,,300000,300090,105,105,29,29,2,11.0,2765.4500282553818,480.51620264925316,0.0,902.938,2026-04-11T02:31:51,
C2,n_neigh=15,r201_21,2,3905840399,15,0.9,tchebycheff,,300000,300090,105,105,42,42,3,9.0,2397.2626806262606,286.5936826463114,0.0,955.449,2026-04-11T02:32:52,
C3,n_neigh=10,c101_21,1,724721563,10,0.9,tchebycheff,,300000,300090,105,105,19,19,1,30.0,3501.7988512181573,3470.9704684616977,0.0,729.52,2026-04-11T02:36:29,
C3,n_neigh=10,c101_21,2,1664555488,10,0.9,tchebycheff,,300000,300090,105,105,30,30,1,31.0,3682.9237440777115,6443.786424864741,0.0,769.98,2026-04-11T02:37:27,
C3,n_neigh=10,c101_21,4,3975882131,10,0.9,tchebycheff,,300000,300090,105,105,28,28,2,31.0,3561.4285112532457,3075.5276074182084,0.0,740.949,2026-04-11T02:38:20,
C2,n_neigh=15,r201_21,3,3280235900,15,0.9,tchebycheff,,300000,300090,105,105,31,31,1,13.0,2869.3375006352144,1796.6050719092768,0.0,997.335,2026-04-11T02:39:11,
C3,n_neigh=10,c101_21,3,951123163,10,0.9,tchebycheff,,300000,300090,105,105,29,29,3,32.0,4020.4116932195884,5351.244115290675,0.0,820.664,2026-04-11T02:39:20,
C2,n_neigh=15,r201_21,4,2709274082,15,0.9,tchebycheff,,300000,300090,105,105,30,30,2,11.0,2616.950001656908,1198.3436101398108,0.0,1011.662,2026-04-11T02:39:35,
C3,n_neigh=10,r106_21,1,4127973926,10,0.9,tchebycheff,,300000,300090,105,105,34,34,4,29.0,2387.867038350976,76.90914547816675,0.0,663.835,2026-04-11T02:47:33,
C3,n_neigh=10,c208_21,1,1709121481,10,0.9,tchebycheff,,300000,300090,105,105,42,42,1,12.0,3114.579947493477,28.01562118716447,257194331106.10965,1041.255,2026-04-11T02:47:35,
C3,n_neigh=10,r106_21,2,956837744,10,0.9,tchebycheff,,300000,300090,105,105,47,47,4,30.0,2439.4885798385503,21.420874404774466,0.0,689.944,2026-04-11T02:48:57,
C3,n_neigh=10,r106_21,3,2423310944,10,0.9,tchebycheff,,300000,300090,105,105,40,40,3,29.0,2464.953153795292,90.25520826421827,0.0,668.865,2026-04-11T02:49:28,
C3,n_neigh=10,r106_21,4,806686505,10,0.9,tchebycheff,,300000,300090,105,105,41,41,5,29.0,2493.601444841533,168.10870828130268,0.0,688.016,2026-04-11T02:50:39,
C3,n_neigh=10,c208_21,2,2353647661,10,0.9,tchebycheff,,300000,300090,105,105,39,39,1,9.0,3020.978277927984,4882.454723050671,266923276112.44498,1223.662,2026-04-11T02:51:08,
C3,n_neigh=10,c208_21,4,8850545,10,0.9,tchebycheff,,300000,300090,105,105,40,40,1,11.0,3054.2168306843378,1982.3591165451853,262315505492.26166,1114.542,2026-04-11T02:51:26,
C3,n_neigh=10,c208_21,3,1663040386,10,0.9,tchebycheff,,300000,300090,105,105,39,39,1,9.0,2738.8830201516716,4471.589081999517,287187712046.0531,1245.26,2026-04-11T02:52:36,
C3,n_neigh=10,r201_21,1,802432557,10,0.9,tchebycheff,,300000,300090,105,105,46,46,2,12.0,2819.340463040901,192.4909879645069,0.0,800.546,2026-04-11T02:52:41,
C3,n_neigh=10,r201_21,2,2012623649,10,0.9,tchebycheff,,300000,300090,105,105,45,45,2,12.0,2600.349414652812,437.24876906708994,0.0,887.789,2026-04-11T02:54:23,
C3,n_neigh=10,r201_21,3,1302779046,10,0.9,tchebycheff,,300000,300090,105,105,41,41,1,14.0,2672.236985842395,124.1962349379767,0.0,791.798,2026-04-11T03:00:45,
C4,n_neigh=5,c101_21,2,327012471,5,0.9,tchebycheff,,300000,300090,105,105,44,44,1,30.0,3416.1086894542104,3411.3815929083826,0.0,738.324,2026-04-11T03:01:47,
C4,n_neigh=5,c101_21,1,1329355649,5,0.9,tchebycheff,,300000,300090,105,105,50,50,4,30.0,3772.1029924396175,3216.6001560110476,0.0,771.503,2026-04-11T03:01:49,
C3,n_neigh=10,r201_21,4,387342104,10,0.9,tchebycheff,,300000,300090,105,105,37,37,1,12.0,2223.371673307626,390.04913294955617,0.0,877.566,2026-04-11T03:02:13,
C4,n_neigh=5,c101_21,4,2031651644,5,0.9,tchebycheff,,300000,300090,105,105,44,44,2,31.0,3701.434545158031,2724.035236174891,0.0,750.099,2026-04-11T03:03:39,
C4,n_neigh=5,c101_21,3,2209517629,5,0.9,tchebycheff,,300000,300090,105,105,44,44,3,30.0,3788.7148137158665,4306.070791284444,0.0,781.581,2026-04-11T03:03:41,
C4,n_neigh=5,c208_21,1,5154587,5,0.9,tchebycheff,,300000,300090,105,105,50,50,1,12.0,3339.14766208407,1816.7093086956897,240587922858.9595,1094.552,2026-04-11T03:09:41,
C4,n_neigh=5,c208_21,3,1029249699,5,0.9,tchebycheff,,300000,300090,105,105,52,52,1,11.0,2943.101172546215,1815.5474308864273,270225807897.12823,1090.037,2026-04-11T03:10:51,
C4,n_neigh=5,c208_21,2,867978338,5,0.9,tchebycheff,,300000,300090,105,105,51,51,1,11.0,3275.138792014684,2995.052946174237,246266558067.4812,1157.774,2026-04-11T03:11:54,
C4,n_neigh=5,r106_21,1,2510743894,5,0.9,tchebycheff,,300000,300090,105,105,45,45,3,29.0,2616.3136708480233,42.83133124381881,0.0,690.368,2026-04-11T03:12:15,
C4,n_neigh=5,c208_21,4,3706364542,5,0.9,tchebycheff,,300000,300090,105,105,54,54,1,11.0,2942.349238203353,138.4214066112886,271174679025.08145,1117.042,2026-04-11T03:13:00,
C4,n_neigh=5,r106_21,2,1405550250,5,0.9,tchebycheff,,300000,300090,105,105,51,51,4,27.0,2350.0183902894705,72.04712179518265,0.0,673.821,2026-04-11T03:13:01,
C4,n_neigh=5,r106_21,3,2329702590,5,0.9,tchebycheff,,300000,300090,105,105,51,51,2,29.0,2368.282623971464,31.34088372511018,0.0,679.268,2026-04-11T03:13:08,
C4,n_neigh=5,r106_21,4,543036763,5,0.9,tchebycheff,,300000,300090,105,105,64,64,6,27.0,2368.277653669783,60.25819777393025,0.0,671.283,2026-04-11T03:13:24,
C4,n_neigh=5,r201_21,2,3119415979,5,0.9,tchebycheff,,300000,300090,105,105,55,55,2,13.0,2635.2065288732015,156.24688565290788,0.0,776.587,2026-04-11T03:16:37,
C4,n_neigh=5,r201_21,1,3893792557,5,0.9,tchebycheff,,300000,300090,105,105,52,52,1,12.0,2586.7641504497383,915.3371092421248,0.0,991.844,2026-04-11T03:20:10,
C4,n_neigh=5,r201_21,3,132379215,5,0.9,tchebycheff,,300000,300090,105,105,52,52,1,13.0,2714.2559655321857,281.72520726088067,0.0,872.429,2026-04-11T03:24:13,
C4,n_neigh=5,r201_21,4,2323014364,5,0.9,tchebycheff,,300000,300090,105,105,50,50,2,13.0,2887.56080277661,364.5626223764341,0.0,817.732,2026-04-11T03:24:28,
C5,n_neigh=3,c101_21,2,2708801470,3,0.9,tchebycheff,,300000,300090,105,105,60,60,4,29.0,3659.1238421840494,2538.8788124565435,0.0,769.809,2026-04-11T03:25:05,
C5,n_neigh=3,c101_21,1,3759756090,3,0.9,tchebycheff,,300000,300090,105,105,56,56,3,31.0,3752.1863854123208,3574.5332211163077,0.0,793.638,2026-04-11T03:25:08,
C5,n_neigh=3,c101_21,3,961626471,3,0.9,tchebycheff,,300000,300090,105,105,57,57,3,31.0,3605.3281490680247,3626.2805649985494,0.0,738.95,2026-04-11T03:25:19,
C5,n_neigh=3,c101_21,4,390917652,3,0.9,tchebycheff,,300000,300090,105,105,56,56,3,30.0,3771.2408714616613,2965.1355139826505,0.0,772.578,2026-04-11T03:25:53,
C5,n_neigh=3,c208_21,1,3068528682,3,0.9,tchebycheff,,300000,300090,105,105,60,60,1,11.0,3353.929287154671,202.4758745367559,242059396003.87793,1101.006,2026-04-11T03:31:29,
C5,n_neigh=3,c208_21,2,317292641,3,0.9,tchebycheff,,300000,300090,105,105,59,59,1,11.0,3487.740976861258,1534.3463263418573,231998324937.31253,1101.977,2026-04-11T03:31:46,
C5,n_neigh=3,c208_21,3,527514350,3,0.9,tchebycheff,,300000,300090,105,105,61,61,1,11.0,3184.174164514838,1243.1681670831838,253530756812.31302,1093.212,2026-04-11T03:34:51,
C5,n_neigh=3,r106_21,1,372964430,3,0.9,tchebycheff,,300000,300090,105,105,63,63,5,27.0,2327.783730784233,105.69819526234387,0.0,674.061,2026-04-11T03:35:27,
C5,n_neigh=3,r106_21,2,2848175426,3,0.9,tchebycheff,,300000,300090,105,105,64,64,3,27.0,2335.609478534115,127.07895737294203,0.0,686.372,2026-04-11T03:35:55,
