task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
12,smsemoa,26,rc101_21,4168012597,0.8263,0.16592,,,,,,400000,105,105,27110752.16,21.00,2411.52,19.88,271.6,ok,fronts/smsemoa__rc101_21__cfg26.pkl
0,smsemoa,21,c101_21,2350464706,0.4867,0.01643,,,,,,400000,105,105,134513398.26,16.00,2105.05,2573.80,328.6,ok,fronts/smsemoa__c101_21__cfg21.pkl
8,smsemoa,25,c101_21,2034454921,0.4389,0.00113,,,,,,400000,105,105,80307429.42,16.00,2107.57,4271.88,335.1,ok,fronts/smsemoa__c101_21__cfg25.pkl
36,smsemoa,7,rc101_21,2529678239,0.306,0.02721,,,,,,400000,105,105,6988838.84,24.00,2636.27,188.10,335.7,ok,fronts/smsemoa__rc101_21__cfg07.pkl
16,smsemoa,4,r201_21,94104495,0.4494,0.00472,,,,,,400000,105,105,16866402.98,6.00,1480.69,432.45,489.2,ok,fronts/smsemoa__r201_21__cfg04.pkl
24,nsga2,29,r201_21,2678258743,0.4589,0.02564,,,,,,400000,105,105,16248229.06,6.00,1257.81,0.00,521.9,ok,fronts/nsga2__r201_21__cfg29.pkl
40,nsga2,14,rc101_21,2533019822,0.4667,0.00128,,,,,,400000,105,105,13589237.55,24.00,2672.16,41.64,282.7,ok,fronts/nsga2__rc101_21__cfg14.pkl
4,smsemoa,16,r201_21,199841075,0.1706,0.19572,,,,,,400000,105,105,32637777.07,5.00,1307.38,15.39,574.0,ok,fronts/smsemoa__r201_21__cfg16.pkl
32,smsemoa,14,c201_21,199003552,0.3299,0.00228,,,,,,400000,105,105,103560745.44,5.00,1173.14,13303.09,616.0,ok,fronts/smsemoa__c201_21__cfg14.pkl
28,moead_ws,11,r201_21,4184782834,0.4126,0.00845,24,0.6519,tchebycheff,energy,,400000,105,103,4947839.47,11.00,2781.76,4880.32,624.2,ok,fronts/moead_ws__r201_21__cfg11.pkl
52,moead_ws,40,rc101_21,1188025362,0.7178,0.2271,11,0.1185,weighted-sum,energy,,400000,105,102,35317465.31,30.00,2928.00,291.76,322.6,ok,fronts/moead_ws__rc101_21__cfg40.pkl
20,moead_ws,18,c201_21,629192635,0.0435,0.00282,22,0.2367,weighted-sum,das-dennis,,400000,105,104,15829031.93,9.00,3065.03,66939.60,755.9,ok,fronts/moead_ws__c201_21__cfg18.pkl
44,smsemoa,12,r101_21,2159435978,0.0844,0.01072,,,,,,400000,105,105,7255521.8,22.00,1935.81,111.93,504.1,ok,fronts/smsemoa__r101_21__cfg12.pkl
60,smsemoa,30,c101_21,3664262434,0.727,0.08017,,,,,,400000,105,105,64521024.26,13.00,1659.94,725.46,315.6,ok,fronts/smsemoa__c101_21__cfg30.pkl
64,moead_ws,28,r101_21,3983936429,0.6329,0.00517,15,0.7349,weighted-sum,das-dennis,,400000,105,104,6874139.48,38.00,2900.59,1325.94,340.4,ok,fronts/moead_ws__r101_21__cfg28.pkl
68,smsemoa,8,r101_21,803849021,0.1768,0.13242,,,,,,400000,105,105,15260736.14,22.00,1895.28,93.34,335.9,ok,fronts/smsemoa__r101_21__cfg08.pkl
72,nsga2,12,c101_21,1685055157,0.9707,0.16307,,,,,,400000,105,105,190044327.17,13.00,1690.71,1717.12,294.3,ok,fronts/nsga2__c101_21__cfg12.pkl
