algorithm_id,instance,run_idx,seed,n_evals_budget,n_evals_actual,n_feasible,n_pareto,hv_quick,igd_plus_quick,best_f1,best_f2,best_f3,n_f1_layers,elapsed_seconds,timestamp_start,timestamp_end,status,pickle_path,git_commit
smsemoa,c101_21,1,2240744805,850000,850080,105,87,72190578.225967,,15.0,1707.4504,2176.18,8,1470.981,2026-04-13T02:19:07,2026-04-13T02:43:38,ok,pickles/smsemoa/c101_21/run01.pkl,41f34bd
nsga2,r110_21,2,3535207804,850000,850080,105,99,7477455.12609,,14.0,1480.9771,0.0,9,1507.328,2026-04-13T02:21:45,2026-04-13T02:46:53,ok,pickles/nsga2/r110_21/run02.pkl,41f34bd
moead_ws,r201_21,9,4133791390,850000,850080,105,73,71197034.929298,,8.0,1284.6415,1567.0578,4,2591.158,2026-04-13T02:08:51,2026-04-13T02:52:03,ok,pickles/moead_ws/r201_21/run09.pkl,41f34bd
moead_ws,r201_21,1,493975674,850000,850080,105,87,117030536.728835,,7.0,1157.1598,217.8237,4,2530.617,2026-04-13T02:10:46,2026-04-13T02:52:57,ok,pickles/moead_ws/r201_21/run01.pkl,41f34bd
moead_ws,r110_21,7,181127783,850000,850080,105,50,9839606.476572,,15.0,1547.4294,0.0,8,1896.682,2026-04-13T02:32:53,2026-04-13T03:04:30,ok,pickles/moead_ws/r110_21/run07.pkl,41f34bd
moead_ws,c101_21,2,2915107224,850000,850080,105,49,167271762.897562,,16.0,1857.9376,2934.0405,5,2029.454,2026-04-13T02:32:29,2026-04-13T03:06:18,ok,pickles/moead_ws/c101_21/run02.pkl,41f34bd
nsga2,r201_21,10,3409133746,850000,850080,105,105,300832849.156889,,5.0,1157.9148,461.1629,10,2002.434,2026-04-13T02:36:51,2026-04-13T03:10:14,ok,pickles/nsga2/r201_21/run10.pkl,41f34bd
moead_ws,c104_21,3,1490777414,850000,850080,105,67,39236445.182061,,11.0,1553.0461,0.0,6,2278.535,2026-04-13T02:32:23,2026-04-13T03:10:21,ok,pickles/moead_ws/c104_21/run03.pkl,41f34bd
moead_ws,c104_21,1,1232687410,850000,850080,105,84,19110900.587939,,11.0,1581.571,0.0,4,2298.354,2026-04-13T02:32:34,2026-04-13T03:10:52,ok,pickles/moead_ws/c104_21/run01.pkl,41f34bd
moead_ws,r110_21,8,2247487746,850000,850080,105,49,3124628.397167,,15.0,1505.6348,0.0,6,1893.127,2026-04-13T02:40:30,2026-04-13T03:12:03,ok,pickles/moead_ws/r110_21/run08.pkl,41f34bd
