algorithm_id,instance,run_idx,seed,n_evals_budget,n_evals_actual,n_feasible,n_pareto,hv_quick,igd_plus_quick,best_f1,best_f2,best_f3,n_f1_layers,elapsed_seconds,timestamp_start,timestamp_end,status,pickle_path,git_commit
moead_ws,c101_21,1,215282684,1000000,1000020,105,54,543245322.284855,,17.0,1966.1717,2791.5113,5,2507.655,2026-04-11T22:23:15,2026-04-11T23:05:03,ok,pickles/moead_ws/c101_21/run01.pkl,7482e60
nsga2,c201_21,4,1694093896,1000000,1000020,105,94,76617562.090748,,4.0,1028.8052,1608.9252,5,3048.111,2026-04-11T22:20:47,2026-04-11T23:11:35,ok,pickles/nsga2/c201_21/run04.pkl,7482e60
moead_ws,r101_21,4,218294273,1000000,1000020,105,84,92384586.703468,,26.0,2164.4982,136.2275,15,2188.588,2026-04-11T22:35:51,2026-04-11T23:12:20,ok,pickles/moead_ws/r101_21/run04.pkl,7482e60
moead_ws,c201_21,3,1669677701,1000000,1000020,105,22,319794792.646728,,6.0,1134.0619,7524.3948,3,3341.183,2026-04-11T22:21:14,2026-04-11T23:16:56,ok,pickles/moead_ws/c201_21/run03.pkl,7482e60
smsemoa,c101_21,2,2457253999,1000000,1000020,105,99,61430792.949118,,14.0,1698.8156,2149.8633,9,1799.789,2026-04-11T22:48:00,2026-04-11T23:18:00,ok,pickles/smsemoa/c101_21/run02.pkl,7482e60
moead_ws,r101_21,2,2934886608,1000000,1000020,105,78,82459052.936623,,23.0,2057.1767,88.0266,15,2139.483,2026-04-11T22:50:58,2026-04-11T23:26:38,ok,pickles/moead_ws/r101_21/run02.pkl,7482e60
nsga2,r101_21,3,967018280,1000000,1000020,105,103,35088661.369445,,22.0,2047.6831,203.9739,15,1684.479,2026-04-11T23:05:03,2026-04-11T23:33:08,ok,pickles/nsga2/r101_21/run03.pkl,7482e60
smsemoa,rc201_21,4,3723433569,1000000,1000020,105,105,239538295.17001,,7.0,1358.2604,324.3024,8,2264.236,2026-04-11T22:58:39,2026-04-11T23:36:23,ok,pickles/smsemoa/rc201_21/run04.pkl,7482e60
nsga2,rc101_21,4,2523182184,1000000,1000020,105,105,108593062.557137,,20.0,2288.6776,103.9863,19,1658.142,2026-04-11T23:12:20,2026-04-11T23:39:58,ok,pickles/nsga2/rc101_21/run04.pkl,7482e60
smsemoa,r201_21,3,1195358968,1000000,1000020,105,101,237384579.514623,,6.0,1163.7402,553.1652,6,2467.535,2026-04-11T23:01:43,2026-04-11T23:42:51,ok,pickles/smsemoa/r201_21/run03.pkl,7482e60
moead_ws,c201_21,5,880203127,1000000,1000020,105,84,272660037.183407,,7.0,1372.763,6565.4146,2,3131.687,2026-04-11T22:51:35,2026-04-11T23:43:47,ok,pickles/moead_ws/c201_21/run05.pkl,7482e60
moead_ws,r201_21,2,2816698389,1000000,1000020,105,44,30108937.460791,,6.0,1122.5093,356.1137,3,3003.658,2026-04-11T23:00:19,2026-04-11T23:50:23,ok,pickles/moead_ws/r201_21/run02.pkl,7482e60
nsga2,r201_21,4,377084709,1000000,1000020,105,101,204165450.019703,,6.0,1290.2337,281.2125,8,2432.445,2026-04-11T23:16:56,2026-04-11T23:57:28,ok,pickles/nsga2/r201_21/run04.pkl,7482e60
moead_ws,c201_21,2,2512720777,1000000,1000020,105,94,442477371.630046,,6.0,1103.3859,8124.0566,3,3325.461,2026-04-11T23:11:35,2026-04-12T00:07:00,ok,pickles/moead_ws/c201_21/run02.pkl,7482e60
smsemoa,c201_21,1,3416928518,1000000,1000020,105,79,99719902.511119,,4.0,1042.4341,2366.1045,5,2972.873,2026-04-11T23:18:00,2026-04-12T00:07:33,ok,pickles/smsemoa/c201_21/run01.pkl,7482e60
moead_ws,rc101_21,3,3586040360,1000000,1000020,105,65,90288390.633946,,21.0,2463.1737,23.0562,12,2125.785,2026-04-11T23:33:08,2026-04-12T00:08:33,ok,pickles/moead_ws/rc101_21/run03.pkl,7482e60
smsemoa,r101_21,4,2860837449,1000000,1000020,105,105,22980580.840304,,22.0,1980.2366,169.287,14,1624.274,2026-04-11T23:42:51,2026-04-12T00:09:55,ok,pickles/smsemoa/r101_21/run04.pkl,7482e60
nsga2,c101_21,3,2526202209,1000000,1000020,105,85,124516604.480068,,15.0,1829.3097,2112.6396,11,1823.735,2026-04-11T23:43:47,2026-04-12T00:14:10,ok,pickles/nsga2/c101_21/run03.pkl,7482e60
smsemoa,c201_21,4,3548883892,1000000,1000020,105,93,109538191.394735,,5.0,1090.8656,5531.6292,4,2897.089,2026-04-11T23:26:38,2026-04-12T00:14:55,ok,pickles/smsemoa/c201_21/run04.pkl,7482e60
moead_ws,c101_21,5,287335877,1000000,1000020,105,97,466811027.704986,,18.0,1932.9959,3095.2801,5,2489.516,2026-04-11T23:39:58,2026-04-12T00:21:27,ok,pickles/moead_ws/c101_21/run05.pkl,7482e60
