instance,moead_ws,nsga2,smsemoa,winner
c101_21,862956021.8447,1386258808.0163,1511663276.0115,smsemoa
c201_21,1008531021.5731,3404735144.6806,3179232120.9422,nsga2
r101_21,166664273.3914,187064163.0883,187543974.3141,smsemoa
r201_21,206630516.4508,383246626.7121,440952207.4544,smsemoa
rc101_21,151065277.5962,171338177.9540,173156691.3718,smsemoa
rc201_21,450892925.4632,737918653.3134,812040416.6463,smsemoa
