task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
0,nsga2,46,r101_21,48164870,0.6284,0.6444,,,,,,600000,105,105,40398528.32,22.00,1958.36,7.96,422.4,ok,fronts/nsga2__r101_21__cfg046.pkl
3,smsemoa,48,c101_21,337899347,0.8905,0.9753,,,,,,600000,105,105,55824862.69,15.00,1688.39,3277.13,455.1,ok,fronts/smsemoa__c101_21__cfg048.pkl
8,moead_ws,38,rc101_21,3551824136,0.2259,0.7419,22,0.6859,weighted-sum,energy,,600000,105,92,57177774.75,23.00,2563.14,87.89,523.9,ok,fronts/moead_ws__rc101_21__cfg038.pkl
15,moead_ws,21,r101_21,3016789077,0.7419,0.6208,7,0.7465,pbi,das-dennis,1.171,600000,105,105,283552.91,43.00,3037.88,588.69,534.1,ok,fronts/moead_ws__r101_21__cfg021.pkl
12,moead_ws,91,r101_21,2301393433,0.3406,0.9463,11,0.9619,weighted-sum,das-dennis,,600000,105,104,99004571.83,25.00,2171.47,82.90,540.6,ok,fronts/moead_ws__r101_21__cfg091.pkl
6,moead_ws,21,rc101_21,3490576214,0.7419,0.6208,7,0.7465,pbi,das-dennis,1.171,600000,105,103,51440.37,40.00,3900.27,245.42,543.3,ok,fronts/moead_ws__rc101_21__cfg021.pkl
11,moead_ws,3,r101_21,4245489250,0.6047,0.9511,25,0.9704,pbi,das-dennis,4.802,600000,105,103,2413304.71,38.00,2806.44,757.45,563.2,ok,fronts/moead_ws__r101_21__cfg003.pkl
7,moead_ws,89,c101_21,2765923269,0.8958,0.9041,7,0.9517,tchebycheff,energy,,600000,105,92,246500443.87,17.00,2084.31,928.60,602.7,ok,fronts/moead_ws__c101_21__cfg089.pkl
4,nsga2,51,rc201_21,1966775878,0.9305,0.7786,,,,,,600000,105,105,54347592.71,6.00,1323.40,10.35,608.2,ok,fronts/nsga2__rc201_21__cfg051.pkl
1,smsemoa,95,rc201_21,1368630454,0.5766,0.8242,,,,,,600000,105,105,33561281.45,6.00,1475.66,127.30,613.3,ok,fronts/smsemoa__rc201_21__cfg095.pkl
2,nsga2,15,rc201_21,2958144549,0.9179,0.7737,,,,,,600000,105,104,70635769.61,6.00,1461.22,0.00,616.3,ok,fronts/nsga2__rc201_21__cfg015.pkl
5,nsga2,95,r201_21,150265003,0.8079,0.6903,,,,,,600000,105,105,46631138.33,6.00,1150.82,6.46,642.9,ok,fronts/nsga2__r201_21__cfg095.pkl
14,smsemoa,25,r201_21,2482099141,0.9873,0.9625,,,,,,600000,105,105,23722771.68,6.00,1262.04,12.70,672.1,ok,fronts/smsemoa__r201_21__cfg025.pkl
10,smsemoa,71,c201_21,1408004268,0.6985,0.7071,,,,,,600000,105,105,77795806.93,5.00,1240.79,1755.41,755.7,ok,fronts/smsemoa__c201_21__cfg071.pkl
13,moead_ws,29,r201_21,3958707349,0.7126,0.6517,10,0.7757,tchebycheff,energy,,600000,105,94,43900409.98,6.00,1184.71,70.60,769.8,ok,fronts/moead_ws__r201_21__cfg029.pkl
9,nsga2,66,c201_21,2258861433,0.6662,0.964,,,,,,600000,105,87,801956173.46,5.00,1096.53,4083.73,793.7,ok,fronts/nsga2__c201_21__cfg066.pkl
17,nsga2,86,r101_21,2910854339,0.9585,0.5353,,,,,,600000,105,105,39606330.99,22.00,1969.28,25.80,418.1,ok,fronts/nsga2__r101_21__cfg086.pkl
22,smsemoa,82,r101_21,4108629402,0.6552,0.8564,,,,,,600000,105,105,28885125.69,24.00,2099.91,219.81,434.0,ok,fronts/smsemoa__r101_21__cfg082.pkl
16,moead_ws,44,c101_21,1295828661,0.9165,0.9971,20,0.9765,tchebycheff,das-dennis,,600000,105,60,261801860.64,18.00,2084.19,3618.43,616.4,ok,fronts/moead_ws__c101_21__cfg044.pkl
24,smsemoa,29,rc101_21,2218337504,0.2658,0.7733,,,,,,600000,105,105,73222701.25,20.00,2162.30,44.90,434.0,ok,fronts/smsemoa__rc101_21__cfg029.pkl
20,moead_ws,71,rc101_21,604262948,0.4861,0.795,19,0.6269,weighted-sum,energy,,600000,105,102,54443498.83,23.00,2357.50,37.95,508.7,ok,fronts/moead_ws__rc101_21__cfg071.pkl
19,nsga2,16,rc201_21,3511057613,0.8425,0.4351,,,,,,600000,105,105,52691004.46,5.00,1579.24,1.43,641.9,ok,fronts/nsga2__rc201_21__cfg016.pkl
