algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
NSGA-II,62,6139,90,5.0000,437.0246,1162.8058,5.3222,461.7819,1169.7943,0.000000
NSGA-II,63,6239,90,5.0000,437.0246,1162.8058,5.3222,461.4789,1169.7943,0.000000
NSGA-II,64,6339,90,5.0000,437.0246,1162.8058,5.3111,461.2777,1169.8252,0.000000
NSGA-II,65,6439,90,5.0000,437.0246,1162.8058,5.3111,461.2777,1169.8252,0.000000
NSGA-II,66,6539,90,5.0000,437.0246,1162.8058,5.3111,461.0905,1169.6128,0.000000
NSGA-II,67,6639,90,5.0000,437.0246,1162.8058,5.3111,460.4393,1169.2539,0.000000
NSGA-II,68,6739,90,5.0000,437.0246,1162.8058,5.3111,460.4393,1169.2539,0.000000
NSGA-II,69,6839,90,5.0000,437.0246,1162.8058,5.3000,460.2612,1169.2539,0.000000
NSGA-II,70,6939,90,5.0000,437.0246,1162.8058,5.3000,460.2612,1169.2539,0.000000
NSGA-II,71,7039,90,5.0000,437.0246,1162.8058,5.3111,459.8979,1169.2233,0.000000
NSGA-II,72,7139,90,5.0000,437.0246,1162.8058,5.3222,458.8469,1169.3197,0.000000
NSGA-II,73,7239,90,4.0000,437.0246,1162.8058,5.3111,458.6061,1169.3197,0.000000
NSGA-II,74,7339,88,4.0000,437.0246,1162.8058,5.2955,457.9731,1169.4365,0.000000
NSGA-II,75,7439,88,4.0000,437.0246,1162.8058,5.2955,456.9332,1169.7522,0.000000
NSGA-II,76,7539,87,4.0000,437.0246,1162.8058,5.2759,456.4667,1170.1490,0.000000
NSGA-II,77,7639,87,4.0000,437.0246,1162.8058,5.2644,455.5939,1170.1809,0.000000
NSGA-II,78,7739,86,4.0000,437.0246,1162.8058,5.2558,455.1660,1170.5209,0.000000
NSGA-II,79,7839,86,4.0000,437.0246,1162.8058,5.2558,454.6770,1170.3331,0.000000
NSGA-II,80,7939,86,4.0000,437.0246,1162.8058,5.2558,454.6770,1170.3331,0.000000
NSGA-II,81,8039,86,4.0000,437.0246,1162.8058,5.2558,454.3742,1170.6215,0.000000
