algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
SMS-EMOA,27,2643,67,5.0000,437.0246,1162.8058,5.5821,484.4210,1175.9146,0.000000
SMS-EMOA,28,2743,69,5.0000,437.0246,1162.8058,5.5652,483.5227,1176.4436,0.000000
SMS-EMOA,29,2843,72,5.0000,437.0246,1162.8058,5.5417,482.2724,1177.5255,0.000000
SMS-EMOA,30,2943,73,5.0000,437.0246,1162.8058,5.5068,480.0490,1177.7016,0.000000
SMS-EMOA,31,3043,75,5.0000,437.0246,1162.8058,5.5200,480.4360,1177.3411,0.000000
SMS-EMOA,32,3143,78,5.0000,437.0246,1162.8058,5.5256,481.0017,1177.1708,0.000000
SMS-EMOA,33,3243,79,5.0000,437.0246,1162.8058,5.5190,480.5643,1177.3381,0.000000
SMS-EMOA,34,3343,78,5.0000,437.0246,1162.8058,5.5000,479.8118,1177.1708,0.000000
SMS-EMOA,35,3443,80,5.0000,437.0246,1162.8058,5.5250,480.3405,1176.8117,0.000000
SMS-EMOA,36,3543,81,5.0000,437.0246,1162.8058,5.4815,478.9485,1177.2857,0.000000
SMS-EMOA,37,3643,85,5.0000,437.0246,1162.8058,5.4706,478.5598,1177.3533,0.000000
SMS-EMOA,38,3743,85,5.0000,437.0246,1162.8058,5.4706,478.5598,1177.3533,0.000000
SMS-EMOA,39,3843,86,5.0000,437.0246,1162.8058,5.4651,477.9604,1177.1841,0.000000
SMS-EMOA,40,3943,88,5.0000,437.0246,1162.8058,5.4545,477.6048,1177.1707,0.000000
SMS-EMOA,41,4043,89,5.0000,437.0246,1162.8058,5.4494,477.7575,1177.0093,0.000000
SMS-EMOA,42,4143,89,5.0000,437.0246,1162.8058,5.4270,477.2364,1177.3191,0.000000
SMS-EMOA,43,4243,89,5.0000,437.0246,1162.8058,5.4270,477.1695,1177.3191,0.000000
SMS-EMOA,44,4343,89,5.0000,437.0246,1162.8058,5.4157,476.4250,1176.6348,0.000000
SMS-EMOA,45,4443,91,5.0000,437.0246,1162.8058,5.3846,474.1813,1176.1438,0.000000
SMS-EMOA,46,4543,91,5.0000,437.0246,1162.8058,5.3736,472.9605,1175.4442,0.000000
SMS-EMOA,47,4643,91,5.0000,437.0246,1162.8058,5.3626,471.8949,1175.4442,0.000000
SMS-EMOA,48,4743,91,5.0000,437.0246,1162.8058,5.3516,471.2725,1175.2040,0.000000
SMS-EMOA,49,4843,91,5.0000,437.0246,1162.8058,5.3626,470.8532,1173.8984,0.000000
SMS-EMOA,50,4943,91,5.0000,437.0246,1162.8058,5.3736,470.6661,1173.5953,0.000000
SMS-EMOA,51,5043,90,5.0000,437.0246,1162.8058,5.3556,470.2001,1173.7152,0.000000
SMS-EMOA,52,5143,90,5.0000,437.0246,1162.8058,5.3556,469.6181,1173.4088,0.000000
SMS-EMOA,53,5243,89,5.0000,437.0246,1162.8058,5.3258,468.3664,1173.5279,0.000000
SMS-EMOA,54,5343,89,5.0000,437.0246,1162.8058,5.3258,468.3664,1173.5279,0.000000
SMS-EMOA,55,5443,88,5.0000,437.0246,1162.8058,5.3295,468.2308,1173.3364,0.000000
SMS-EMOA,56,5543,87,5.0000,437.0246,1162.8058,5.3333,467.7305,1172.1027,0.000000
SMS-EMOA,57,5643,87,5.0000,437.0246,1162.8058,5.3333,467.7305,1172.1027,0.000000
SMS-EMOA,58,5743,87,5.0000,437.0246,1162.8058,5.3333,467.5944,1172.1027,0.000000
SMS-EMOA,59,5843,86,5.0000,437.0246,1162.8058,5.3372,467.4763,1171.8901,0.000000
SMS-EMOA,60,5943,86,4.0000,435.8272,1162.8058,5.3140,466.4826,1171.9891,0.000000
SMS-EMOA,61,6043,86,4.0000,435.8272,1162.8058,5.3140,466.2083,1172.6863,0.000000
SMS-EMOA,62,6143,85,4.0000,435.8272,1162.8058,5.3176,464.5522,1171.9540,0.000000
SMS-EMOA,63,6243,85,4.0000,435.8272,1162.8058,5.3059,464.2551,1172.0212,0.000000
SMS-EMOA,64,6343,85,4.0000,435.8272,1162.8058,5.3176,463.5835,1170.9481,0.000000
SMS-EMOA,65,6443,85,4.0000,435.8272,1162.8058,5.3059,461.6720,1171.0153,0.000000
SMS-EMOA,66,6543,84,4.0000,435.8272,1162.8058,5.3095,460.6276,1171.4414,0.000000
SMS-EMOA,67,6643,84,4.0000,435.8272,1162.8058,5.3095,460.3106,1171.4414,0.000000
SMS-EMOA,68,6743,84,4.0000,435.8272,1162.8058,5.3095,460.0183,1171.1131,0.000000
SMS-EMOA,69,6843,83,4.0000,435.8272,1162.8058,5.3253,459.5059,1170.8809,0.000000
SMS-EMOA,70,6943,81,4.0000,435.8272,1162.8058,5.3333,458.2792,1169.9314,0.000000
SMS-EMOA,71,7043,81,4.0000,435.8272,1162.8058,5.3333,458.2792,1169.9314,0.000000
SMS-EMOA,72,7143,81,4.0000,435.8272,1162.8058,5.3210,458.0281,1170.2718,0.000000
SMS-EMOA,73,7243,81,4.0000,435.8272,1162.8058,5.3210,457.6040,1170.2718,0.000000
SMS-EMOA,74,7343,82,4.0000,435.8272,1162.8058,5.3171,457.4317,1170.1807,0.000000
SMS-EMOA,75,7443,82,4.0000,435.8272,1162.8058,5.3171,457.4317,1170.1807,0.000000
SMS-EMOA,76,7543,82,4.0000,435.8272,1162.8058,5.3171,457.3881,1170.1807,0.000000
SMS-EMOA,77,7643,83,4.0000,435.8272,1162.8058,5.3133,457.5710,1170.0919,0.000000
SMS-EMOA,78,7743,84,4.0000,435.8272,1162.8058,5.3333,457.0310,1169.8129,0.000000
SMS-EMOA,79,7843,85,4.0000,425.9551,1162.8058,5.3059,456.3567,1170.1221,0.000000
SMS-EMOA,80,7943,85,4.0000,425.9551,1162.8058,5.2941,456.1932,1170.4465,0.000000
SMS-EMOA,81,8043,85,4.0000,425.9551,1162.8058,5.2824,456.2958,1170.4465,0.000000
SMS-EMOA,82,8143,85,4.0000,425.9551,1162.8058,5.2941,455.9867,1170.4465,0.000000
SMS-EMOA,83,8243,85,4.0000,425.9551,1162.8058,5.2941,456.0775,1170.1221,0.000000
SMS-EMOA,84,8343,86,4.0000,425.9551,1162.8058,5.2674,456.2395,1170.3577,0.000000
SMS-EMOA,85,8443,86,4.0000,425.9551,1162.8058,5.2558,456.1626,1170.4241,0.000000
SMS-EMOA,86,8543,85,4.0000,425.9551,1162.8058,5.2588,455.2194,1170.8381,0.000000
SMS-EMOA,87,8643,85,4.0000,425.9551,1162.8058,5.2588,455.2194,1170.8381,0.000000
SMS-EMOA,88,8743,85,4.0000,425.9551,1162.8058,5.2588,455.2194,1170.8381,0.000000
SMS-EMOA,89,8843,85,4.0000,425.9551,1162.8058,5.2588,455.2194,1170.8381,0.000000
SMS-EMOA,90,8943,85,4.0000,425.9551,1162.8058,5.2588,455.2194,1170.8381,0.000000
SMS-EMOA,91,9043,85,4.0000,425.9551,1162.8058,5.2588,454.9988,1170.9053,0.000000
SMS-EMOA,92,9143,84,4.0000,425.9551,1162.8058,5.2619,455.0588,1170.6735,0.000000
SMS-EMOA,93,9243,84,4.0000,425.9551,1162.8058,5.2619,455.0527,1170.7415,0.000000
SMS-EMOA,94,9343,83,4.0000,425.9551,1162.8058,5.2410,454.7935,1171.1693,0.000000
SMS-EMOA,95,9443,83,4.0000,425.9551,1162.8058,5.2410,454.5675,1171.2382,0.000000
SMS-EMOA,96,9543,83,4.0000,425.9551,1162.8058,5.2410,454.5239,1171.2382,0.000000
SMS-EMOA,97,9643,82,4.0000,425.9551,1162.8058,5.2317,454.6887,1170.6684,0.000000
SMS-EMOA,98,9743,82,4.0000,425.9551,1162.8058,5.2195,454.8862,1171.0047,0.000000
SMS-EMOA,99,9843,81,4.0000,425.9551,1162.8058,5.2346,454.9292,1170.1551,0.000000
SMS-EMOA,100,9943,81,4.0000,425.9551,1162.8058,5.2346,454.5427,1170.1551,0.000000
SMS-EMOA,101,10043,81,4.0000,425.9551,1162.8058,5.2346,454.5427,1170.1551,0.000000
SMS-EMOA,102,10143,81,4.0000,425.9551,1162.8058,5.2346,454.5427,1170.1551,0.000000
SMS-EMOA,103,10243,81,4.0000,425.9551,1162.8058,5.2346,454.3269,1169.8852,0.000000
SMS-EMOA,104,10343,81,4.0000,425.9551,1162.8058,5.2346,454.3269,1169.8852,0.000000
SMS-EMOA,105,10443,82,4.0000,425.9551,1162.8058,5.2317,454.2223,1170.1352,0.000000
SMS-EMOA,106,10543,82,4.0000,425.9551,1162.8058,5.2439,453.6333,1170.4715,0.000000
SMS-EMOA,107,10643,81,4.0000,425.9551,1162.8058,5.2469,453.3646,1170.5661,0.000000
SMS-EMOA,108,10743,81,4.0000,425.9551,1162.8058,5.2593,453.1726,1170.5661,0.000000
SMS-EMOA,109,10843,81,4.0000,425.9551,1162.8058,5.2469,452.5982,1170.6366,0.000000
SMS-EMOA,110,10943,81,4.0000,425.9551,1162.8058,5.2222,452.4075,1171.0476,0.000000
SMS-EMOA,111,11043,81,4.0000,425.9551,1162.8058,5.1975,452.1065,1171.1886,0.000000
SMS-EMOA,112,11143,81,4.0000,425.9551,1162.8058,5.1605,451.5820,1171.5996,0.000000
SMS-EMOA,113,11243,81,4.0000,425.9551,1162.8058,5.1481,451.5351,1171.6701,0.000000
SMS-EMOA,114,11343,81,4.0000,425.9551,1162.8058,5.1481,451.5351,1171.6701,0.000000
SMS-EMOA,115,11443,81,4.0000,425.9551,1162.8058,5.1358,451.5622,1171.7407,0.000000
SMS-EMOA,116,11543,81,4.0000,425.9551,1162.8058,5.1358,451.0794,1171.6701,0.000000
SMS-EMOA,117,11643,81,4.0000,425.9551,1162.8058,5.1235,450.8325,1171.6701,0.000000
SMS-EMOA,118,11743,81,4.0000,425.9551,1162.8058,5.1235,450.8325,1171.6701,0.000000
SMS-EMOA,119,11843,81,4.0000,425.9551,1162.8058,5.1235,450.8325,1171.6701,0.000000
SMS-EMOA,120,11943,81,4.0000,425.9551,1162.8058,5.1235,450.8325,1171.6701,0.000000
