task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
170,moead_ws,10,r101_21,3697314128,0.2326,0.02064,21,0.606,pbi,energy,6.428,400000,105,105,198430.46,43.00,3472.69,1328.84,846.3,ok,fronts/moead_ws__r101_21__cfg10.pkl
174,moead_ws,20,r101_21,3424324779,0.1017,0.11603,15,0.052,tchebycheff,energy,,400000,105,100,11886831.89,36.00,2857.85,648.47,758.2,ok,fronts/moead_ws__r101_21__cfg20.pkl
182,smsemoa,5,rc101_21,2010193926,0.0964,0.17213,,,,,,400000,105,105,25663515.71,22.00,2414.36,55.98,923.5,ok,fronts/smsemoa__rc101_21__cfg05.pkl
206,nsga2,23,rc101_21,767339142,0.8323,0.09851,,,,,,400000,105,105,26349104.19,21.00,2321.74,40.17,642.9,ok,fronts/nsga2__rc101_21__cfg23.pkl
198,smsemoa,2,c101_21,2553517595,0.2659,0.25163,,,,,,400000,105,105,154084609.39,14.00,1731.05,1562.05,825.0,ok,fronts/smsemoa__c101_21__cfg02.pkl
214,smsemoa,9,r101_21,910973991,0.7585,0.06056,,,,,,400000,105,105,13030214.92,26.00,2400.00,174.34,664.8,ok,fronts/smsemoa__r101_21__cfg09.pkl
210,moead_ws,18,r101_21,2804291417,0.0435,0.00282,22,0.2367,weighted-sum,das-dennis,,400000,105,91,967164.04,35.00,3099.64,1448.03,860.7,ok,fronts/moead_ws__r101_21__cfg18.pkl
178,moead_ws,14,r201_21,1658731040,0.3103,0.00227,21,0.921,tchebycheff,das-dennis,,400000,105,104,18161273.31,10.00,2499.52,4182.00,1454.3,ok,fronts/moead_ws__r201_21__cfg14.pkl
190,smsemoa,49,r201_21,1213889155,0.5994,0.14669,,,,,,400000,105,105,18233913.52,5.00,1242.92,42.66,1241.3,ok,fronts/smsemoa__r201_21__cfg49.pkl
194,smsemoa,22,c201_21,12462558,0.9378,0.02608,,,,,,400000,105,105,114365423.7,6.00,1404.53,12897.46,1309.3,ok,fronts/smsemoa__c201_21__cfg22.pkl
