task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
1598,smsemoa,50,rc101_21,2151932986,0.922,0.8729,,,,,,600000,105,105,31467534.03,21.00,2240.00,54.06,958.8,ok,fronts\smsemoa__rc101_21__cfg050.pkl
1603,nsga2,64,r101_21,2813616480,0.9292,0.9235,,,,,,600000,105,105,29826969.75,21.00,1966.80,142.98,971.5,ok,fronts\nsga2__r101_21__cfg064.pkl
1601,smsemoa,67,rc101_21,729531975,0.9405,0.6436,,,,,,600000,105,105,32137512.58,20.00,2403.88,20.38,979.7,ok,fronts\smsemoa__rc101_21__cfg067.pkl
1599,nsga2,72,c101_21,469220964,0.9595,0.7921,,,,,,600000,105,105,79974285.8,15.00,1753.04,1464.88,1098.2,ok,fronts\nsga2__c101_21__cfg072.pkl
1602,moead_ws,41,rc101_21,1769594498,0.5467,0.736,7,0.6708,tchebycheff,das-dennis,,600000,105,100,52968301.01,23.00,2406.31,16.81,1142.1,ok,fronts\moead_ws__rc101_21__cfg041.pkl
1597,moead_ws,46,c201_21,543897489,0.2621,0.7512,5,0.7169,tchebycheff,das-dennis,,600000,105,101,895317032.94,6.00,1260.89,12913.26,1863.2,ok,fronts\moead_ws__c201_21__cfg046.pkl
1604,smsemoa,6,c201_21,428775607,0.6771,0.7819,,,,,,600000,105,105,15222297.98,5.00,1029.17,1547.46,1864.4,ok,fronts\smsemoa__c201_21__cfg006.pkl
1600,moead_ws,19,r201_21,1161295648,0.7132,0.8529,23,0.777,pbi,das-dennis,2.509,600000,105,100,220473.54,10.00,2679.56,1505.03,1983.6,ok,fronts\moead_ws__r201_21__cfg019.pkl
1609,nsga2,9,c101_21,1106771889,0.7611,0.8763,,,,,,600000,105,105,41136659.07,16.00,1770.36,865.55,1070.2,ok,fronts\nsga2__c101_21__cfg009.pkl
1606,nsga2,61,rc201_21,4213057706,0.8776,0.7695,,,,,,600000,105,105,152858976.91,6.00,1436.03,0.00,1331.0,ok,fronts\nsga2__rc201_21__cfg061.pkl
1605,nsga2,78,rc201_21,3753081186,0.7684,0.6317,,,,,,600000,105,105,110416216.49,7.00,1350.63,13.09,1396.7,ok,fronts\nsga2__rc201_21__cfg078.pkl
1607,moead_ws,87,c101_21,4229265850,0.2245,0.8334,17,0.789,pbi,energy,5.946,600000,105,100,2513409.82,28.00,3655.99,5088.28,1490.7,ok,fronts\moead_ws__c101_21__cfg087.pkl
1610,nsga2,53,c101_21,1785832394,0.4392,0.9459,,,,,,600000,105,105,73189113.91,15.00,1689.96,1763.52,1025.6,ok,fronts\nsga2__c101_21__cfg053.pkl
1608,nsga2,84,c201_21,1299245249,0.9339,0.6096,,,,,,600000,105,105,53801770.89,5.00,1055.53,2599.75,1902.5,ok,fronts\nsga2__c201_21__cfg084.pkl
1612,moead_ws,37,c101_21,1334778914,0.5163,0.6878,23,0.5693,weighted-sum,energy,,600000,105,92,343969641.2,18.00,2032.26,4598.17,1335.7,ok,fronts\moead_ws__c101_21__cfg037.pkl
1616,smsemoa,2,r101_21,567501789,0.7492,0.6331,,,,,,600000,105,105,35762976.2,23.00,2099.41,111.50,964.7,ok,fronts\smsemoa__r101_21__cfg002.pkl
1611,moead_ws,32,r201_21,2297013216,0.4941,0.8411,16,0.9865,weighted-sum,energy,,600000,105,92,107096468.45,7.00,1076.92,22.79,1792.6,ok,fronts\moead_ws__r201_21__cfg032.pkl
1614,smsemoa,23,rc201_21,1395067259,0.724,0.9654,,,,,,600000,105,105,56670467.16,7.00,1452.38,92.67,1390.9,ok,fronts\smsemoa__rc201_21__cfg023.pkl
1613,smsemoa,63,r201_21,2320889329,0.7606,0.8055,,,,,,600000,105,105,57547314.94,5.00,1266.57,92.64,1494.5,ok,fronts\smsemoa__r201_21__cfg063.pkl
1618,smsemoa,45,c101_21,3102714655,0.6826,0.8376,,,,,,600000,105,105,84545005.29,14.00,1766.19,1816.66,1021.6,ok,fronts\smsemoa__c101_21__cfg045.pkl
1615,nsga2,21,c201_21,2222626336,0.3831,0.3612,,,,,,600000,105,105,147634378.58,4.00,944.92,1032.08,1873.6,ok,fronts\nsga2__c201_21__cfg021.pkl
1617,nsga2,44,c201_21,1627921309,0.901,0.7948,,,,,,600000,105,105,290058809.37,5.00,1347.25,2266.67,1732.3,ok,fronts\nsga2__c201_21__cfg044.pkl
1620,smsemoa,11,rc201_21,1938787665,0.5935,0.8456,,,,,,600000,105,105,155139604.59,6.00,1423.83,126.78,1363.1,ok,fronts\smsemoa__rc201_21__cfg011.pkl
1623,moead_ws,73,r101_21,3085274097,0.2887,0.6868,17,0.9932,tchebycheff,das-dennis,,600000,105,102,54381561.5,25.00,2163.67,146.44,1121.7,ok,fronts\moead_ws__r101_21__cfg073.pkl
1622,moead_ws,72,r101_21,2125855489,0.3711,0.7895,12,0.6922,weighted-sum,das-dennis,,600000,105,104,59327729.56,23.00,2042.16,83.39,1167.2,ok,fronts\moead_ws__r101_21__cfg072.pkl
1619,smsemoa,2,c201_21,404560235,0.7492,0.6331,,,,,,600000,105,105,51429605.46,5.00,1081.20,1949.71,1669.7,ok,fronts\smsemoa__c201_21__cfg002.pkl
1621,smsemoa,5,r201_21,2969113417,0.8083,0.8316,,,,,,600000,105,105,31011365.85,5.00,1246.39,12.58,1600.1,ok,fronts\smsemoa__r201_21__cfg005.pkl
1626,nsga2,49,r101_21,169377693,0.7944,0.8848,,,,,,600000,105,104,43554030.74,21.00,1927.10,58.77,937.8,ok,fronts\nsga2__r101_21__cfg049.pkl
1628,smsemoa,42,r101_21,1369070192,0.8116,0.8905,,,,,,600000,105,105,13017337.57,21.00,1877.47,153.78,938.4,ok,fronts\smsemoa__r101_21__cfg042.pkl
