task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
13,nsga2,47,r101_21,1813893261,0.4462,0.00879,,,,,,400000,105,105,46410407.47,23.00,2040.65,26.48,298.8,ok,fronts/nsga2__r101_21__cfg47.pkl
17,nsga2,17,r101_21,1222632169,0.3258,0.00827,,,,,,400000,105,105,19830075.29,23.00,2082.08,64.99,334.9,ok,fronts/nsga2__r101_21__cfg17.pkl
25,smsemoa,50,r101_21,3708457308,0.1964,0.00587,,,,,,400000,105,105,14404445.2,24.00,2163.19,86.52,381.7,ok,fronts/smsemoa__r101_21__cfg50.pkl
9,nsga2,44,c201_21,2918148743,0.7224,0.01394,,,,,,400000,105,105,86061196.83,5.00,1059.23,226.16,537.7,ok,fronts/nsga2__c201_21__cfg44.pkl
29,nsga2,38,r101_21,870495167,0.0583,0.00498,,,,,,400000,105,105,23453900.28,23.00,2006.57,32.82,550.5,ok,fronts/nsga2__r101_21__cfg38.pkl
5,moead_ws,50,c201_21,1039241150,0.2018,0.00204,22,0.5045,tchebycheff,energy,,400000,105,105,238567601.89,7.00,2589.61,28914.94,587.6,ok,fronts/moead_ws__c201_21__cfg50.pkl
21,smsemoa,50,c201_21,2765545207,0.1964,0.00587,,,,,,400000,105,105,102062369.96,5.00,1164.56,5872.31,663.0,ok,fronts/smsemoa__c201_21__cfg50.pkl
37,moead_ws,16,r201_21,4194285988,0.1746,0.00136,4,0.5911,tchebycheff,energy,,400000,105,105,17945544.4,10.00,2655.26,5084.95,667.8,ok,fronts/moead_ws__r201_21__cfg16.pkl
1,nsga2,39,r201_21,551168667,0.2936,0.04362,,,,,,400000,105,105,11868861.48,6.00,1477.97,250.02,774.2,ok,fronts/nsga2__r201_21__cfg39.pkl
33,smsemoa,36,c201_21,550972787,0.2909,0.01887,,,,,,400000,105,105,147737396.11,5.00,1480.27,23547.16,814.0,ok,fronts/smsemoa__c201_21__cfg36.pkl
41,smsemoa,33,c201_21,2636353530,0.5549,0.0083,,,,,,400000,105,105,75558734.7,6.00,1423.59,7191.66,537.7,ok,fronts/smsemoa__c201_21__cfg33.pkl
53,moead_ws,25,rc101_21,777149346,0.3675,0.00808,19,0.3795,weighted-sum,das-dennis,,400000,105,105,5331301.44,36.00,3823.10,1144.70,383.1,ok,fronts/moead_ws__rc101_21__cfg25.pkl
