task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
913,smsemoa,86,r101_21,48540990,0.656,0.6455,,,,,,600000,105,105,22409909.72,22.00,1959.16,42.27,944.6,ok,fronts/smsemoa__r101_21__cfg086.pkl
909,nsga2,64,rc101_21,871221139,0.9292,0.9235,,,,,,600000,105,105,34174412.63,21.00,2271.70,19.62,950.3,ok,fronts/nsga2__rc101_21__cfg064.pkl
906,nsga2,23,r101_21,2082198628,0.4049,0.7544,,,,,,600000,105,105,35359445.38,23.00,2124.95,66.94,967.7,ok,fronts/nsga2__r101_21__cfg023.pkl
912,smsemoa,52,r101_21,658656038,0.693,0.5355,,,,,,600000,105,105,20260658.98,23.00,2084.46,7.35,985.3,ok,fronts/smsemoa__r101_21__cfg052.pkl
907,nsga2,19,c101_21,4136364588,0.413,0.9975,,,,,,600000,105,80,253905135.85,14.00,1808.52,2365.81,1066.4,ok,fronts/nsga2__c101_21__cfg019.pkl
911,smsemoa,92,rc201_21,2504074641,0.9706,0.7587,,,,,,600000,105,105,83837876.84,7.00,1543.94,2.44,1407.5,ok,fronts/smsemoa__rc201_21__cfg092.pkl
914,nsga2,100,rc201_21,3235368951,0.4612,0.7282,,,,,,600000,105,105,86892752.27,6.00,1218.05,66.09,1429.4,ok,fronts/nsga2__rc201_21__cfg100.pkl
905,smsemoa,68,r201_21,2323145732,0.5546,0.7568,,,,,,600000,105,105,82657919.5,6.00,1178.49,66.84,1475.5,ok,fronts/smsemoa__r201_21__cfg068.pkl
908,moead_ws,13,r201_21,2070665966,0.9217,0.7952,12,0.561,weighted-sum,energy,,600000,105,104,35004119.61,7.00,1155.38,174.81,1601.9,ok,fronts/moead_ws__r201_21__cfg013.pkl
910,nsga2,43,c201_21,3250732335,0.8605,0.9926,,,,,,600000,105,41,809548546.73,5.00,1200.61,7228.66,1705.3,ok,fronts/nsga2__c201_21__cfg043.pkl
915,nsga2,36,rc101_21,1736189946,0.7936,0.8708,,,,,,600000,105,105,72755938.07,21.00,2383.06,12.26,970.8,ok,fronts/nsga2__rc101_21__cfg036.pkl
916,smsemoa,54,rc201_21,319631260,0.7031,0.9336,,,,,,600000,105,105,248359637.71,7.00,1577.07,716.77,1305.9,ok,fronts/smsemoa__rc201_21__cfg054.pkl
918,smsemoa,68,rc201_21,3561095497,0.5546,0.7568,,,,,,600000,105,105,209127567.02,6.00,1348.58,120.71,1339.8,ok,fronts/smsemoa__rc201_21__cfg068.pkl
