task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
1489,smsemoa,19,rc101_21,4268010974,0.6907,0.6945,,,,,,600000,105,105,53807023.56,20.00,2253.83,34.77,434.9,ok,fronts/smsemoa__rc101_21__cfg019.pkl
1488,moead_ws,74,r101_21,2845213020,0.4994,0.2772,20,0.8909,tchebycheff,das-dennis,,600000,105,104,33268733.04,26.00,2168.70,349.42,513.7,ok,fronts/moead_ws__r101_21__cfg074.pkl
1490,moead_ws,47,r101_21,723800083,0.5211,0.7673,23,0.6221,pbi,energy,4.665,600000,105,102,1282765.2,39.00,2986.04,289.23,521.3,ok,fronts/moead_ws__r101_21__cfg047.pkl
1485,smsemoa,20,c201_21,3730812949,0.9218,0.9917,,,,,,600000,105,79,146520184.18,5.00,1195.85,3330.86,763.8,ok,fronts/smsemoa__c201_21__cfg020.pkl
1480,moead_ws,2,c201_21,1070537331,0.5648,0.9513,17,0.6448,pbi,das-dennis,5.668,600000,105,96,2917475.45,15.00,3698.80,10114.06,850.5,ok,fronts/moead_ws__c201_21__cfg002.pkl
1495,nsga2,4,c101_21,2309729232,0.5061,0.5982,,,,,,600000,105,105,149261654.39,14.00,1814.22,563.36,470.7,ok,fronts/nsga2__c101_21__cfg004.pkl
1492,moead_ws,75,rc201_21,598652004,0.1516,0.9034,5,0.8725,weighted-sum,energy,,600000,105,92,374850304.07,8.00,1263.40,275.38,645.4,ok,fronts/moead_ws__rc201_21__cfg075.pkl
1500,nsga2,20,rc101_21,2648465523,0.6824,0.8478,,,,,,600000,105,105,41158482.74,20.00,2265.55,14.55,415.0,ok,fronts/nsga2__rc101_21__cfg020.pkl
1491,moead_ws,84,rc201_21,2658707554,0.365,0.7692,3,0.5631,pbi,das-dennis,2.575,600000,105,104,848415.81,15.00,3688.86,1543.36,741.1,ok,fronts/moead_ws__rc201_21__cfg084.pkl
1494,nsga2,59,r201_21,3668439264,0.565,0.6194,,,,,,600000,105,105,121184464.81,6.00,1109.40,10.19,661.8,ok,fronts/nsga2__r201_21__cfg059.pkl
1493,nsga2,17,r201_21,1912609719,0.816,0.6536,,,,,,600000,105,105,38995602.98,5.00,1094.62,1.81,740.6,ok,fronts/nsga2__r201_21__cfg017.pkl
1499,nsga2,13,rc201_21,1144149326,0.5777,0.4517,,,,,,600000,105,105,132358057.27,6.00,1495.74,0.55,598.2,ok,fronts/nsga2__rc201_21__cfg013.pkl
1504,smsemoa,95,c101_21,1206087929,0.5766,0.8242,,,,,,600000,105,105,102965532.36,15.00,1829.57,2140.76,449.8,ok,fronts/smsemoa__c101_21__cfg095.pkl
1498,moead_ws,33,c101_21,3963042858,0.5895,0.5687,15,0.5972,pbi,das-dennis,5.369,600000,105,99,1783425.46,31.00,3654.98,4573.89,691.6,ok,fronts/moead_ws__c101_21__cfg033.pkl
1497,smsemoa,19,c201_21,1542232683,0.6907,0.6945,,,,,,600000,105,105,167786202.16,5.00,1255.34,2007.82,760.3,ok,fronts/smsemoa__c201_21__cfg019.pkl
1503,moead_ws,11,c101_21,693099576,0.9404,0.7452,21,0.895,weighted-sum,das-dennis,,600000,105,105,176603747.73,16.00,2027.55,2764.87,613.4,ok,fronts/moead_ws__c101_21__cfg011.pkl
1507,smsemoa,89,r101_21,30404343,0.4301,0.2337,,,,,,600000,105,105,37143584.09,21.00,2045.29,42.45,449.7,ok,fronts/smsemoa__r101_21__cfg089.pkl
1505,moead_ws,34,r101_21,3034097953,0.9228,0.5884,11,0.7667,tchebycheff,energy,,600000,105,103,46962009.2,26.00,2322.79,155.06,522.2,ok,fronts/moead_ws__r101_21__cfg034.pkl
1496,moead_ws,56,c201_21,1716595569,0.6961,0.3417,3,0.8407,weighted-sum,energy,,600000,105,91,128283118.71,7.00,1146.44,8277.10,863.8,ok,fronts/moead_ws__c201_21__cfg056.pkl
1501,moead_ws,96,c201_21,3498983350,0.5832,0.8536,5,0.8073,pbi,energy,3.692,600000,105,102,1022996.17,15.00,3521.65,7392.92,821.8,ok,fronts/moead_ws__c201_21__cfg096.pkl
1510,nsga2,60,rc101_21,1740700246,0.8251,0.498,,,,,,600000,105,105,42072747.56,20.00,2150.43,13.00,430.1,ok,fronts/nsga2__rc101_21__cfg060.pkl
1512,smsemoa,3,rc101_21,820920050,0.8,0.8003,,,,,,600000,105,105,29527613.51,20.00,2268.78,42.81,429.4,ok,fronts/smsemoa__rc101_21__cfg003.pkl
1508,moead_ws,1,r101_21,3361499300,0.937,0.3798,18,0.6973,tchebycheff,das-dennis,,600000,105,105,47659367.74,27.00,2441.17,139.54,544.0,ok,fronts/moead_ws__r101_21__cfg001.pkl
1502,moead_ws,8,c201_21,1726911590,0.8098,0.8947,9,0.9834,tchebycheff,das-dennis,,600000,105,90,566710994.06,5.00,1122.08,10351.77,929.8,ok,fronts/moead_ws__c201_21__cfg008.pkl
